"","Run","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","Bytes","Center.Name","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","Experiment","genome_build","GEO_Accession..exp.","Instrument","library_strategy","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","Sample.Name","source_name","SRA.Study","sex","Biomaterial_provider"
"286","SRR8370928","OTHER",290,242414546,"PRJNA511892","SAMN10645583",124418164,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180863","mm10","GSM3531437","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531437","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"287","SRR8370929","OTHER",290,232018823,"PRJNA511892","SAMN10645582",119179160,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180864","mm10","GSM3531438","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531438","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"288","SRR8370930","OTHER",294,224665050,"PRJNA511892","SAMN10645581",116379329,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180865","mm10","GSM3531439","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531439","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"289","SRR8370931","OTHER",295,442572359,"PRJNA511892","SAMN10645580",230599827,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180930","mm10","GSM3531440","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531440","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"290","SRR8370932","OTHER",292,242100289,"PRJNA511892","SAMN10645579",125749030,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180931","mm10","GSM3531441","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531441","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"291","SRR8370933","OTHER",286,273004482,"PRJNA511892","SAMN10645578",141511270,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180932","mm10","GSM3531442","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531442","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"292","SRR8370934","OTHER",288,130307278,"PRJNA511892","SAMN10645577",67884569,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180933","mm10","GSM3531443","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531443","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"293","SRR8370935","OTHER",280,189106710,"PRJNA511892","SAMN10645576",98417017,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180934","mm10","GSM3531444","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531444","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"294","SRR8370936","OTHER",292,337866500,"PRJNA511892","SAMN10645575",174203532,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180935","mm10","GSM3531445","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531445","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"295","SRR8370937","OTHER",290,270255063,"PRJNA511892","SAMN10645574",140351756,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180936","mm10","GSM3531446","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531446","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"298","SRR8370940","OTHER",285,427051532,"PRJNA511892","SAMN10645571",220230934,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181003","mm10","GSM3531449","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531449","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"300","SRR8370942","OTHER",291,221184841,"PRJNA511892","SAMN10645569",115623903,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181005","mm10","GSM3531451","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531451","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
